Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287200541,2022-01-15,23:53:20.541,48,68.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287201540,2022-01-15,23:53:21.540,49,68.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287202540,2022-01-15,23:53:22.540,50,68.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287203540,2022-01-15,23:53:23.540,51,70.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,170.0000,99.0000
1642287204540,2022-01-15,23:53:24.540,52,70.0000,,,,,,,,,,,
1642287204555,2022-01-15,23:53:24.555,52,,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287205539,2022-01-15,23:53:25.539,53,70.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287206539,2022-01-15,23:53:26.539,54,58.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287207555,2022-01-15,23:53:27.555,55,62.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287208554,2022-01-15,23:53:28.554,56,62.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287209538,2022-01-15,23:53:29.538,57,54.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,174.0000,99.0000
1642287210538,2022-01-15,23:53:30.538,58,54.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,174.0000,99.0000
1642287211569,2022-01-15,23:53:31.569,59,54.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,174.0000,99.0000
1642287212538,2022-01-15,23:53:32.538,60,54.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,174.0000,99.0000
1642287213537,2022-01-15,23:53:33.537,61,56.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,174.0000,99.0000
1642287214569,2022-01-15,23:53:34.569,62,56.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,99.0000
1642287215537,2022-01-15,23:53:35.537,63,62.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,99.0000
1642287216537,2022-01-15,23:53:36.537,64,61.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,99.0000
1642287217568,2022-01-15,23:53:37.568,65,61.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,99.0000
1642287218536,2022-01-15,23:53:38.536,66,62.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,99.0000
1642287219536,2022-01-15,23:53:39.536,67,55.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287220567,2022-01-15,23:53:40.567,68,55.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287221536,2022-01-15,23:53:41.536,69,55.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
